Blanchard-Foucher,William,6000,NICE,04.84.63.25.02,william.blanchard-foucher@server.fr,medecin
Lambert,Roland,6100,NICE,04.06.86.78.55,roland.lambert@server.fr,barman
Noel,,6100,NICE,04.66.95.88.51,adrien.noel@server.fr,barman
Pruvost,Adrien,6100,NICE,04.65.84.72.72,adrien.pruvost@server.fr,
Traore,Adrienne,6100,NICE,04.80.65.40.37,adrienne.traore@server.fr,
Berthelot,Antoinette-Christiane,6100,NICE,04.80.40.08.15,antoinette-christiane.berthelot@server.fr,
de la Blanchard,Laurent,6100,NICE,04.53.50.19.19,laurent.de-la-blanchard@server.fr,
Gosselin,Emmanuel-Olivier,6200,NICE,04.81.34.90.18,emmanuel-olivier.gosselin@server.fr,acteur
Antoine,Alphonse,6200,NICE,04.06.48.44.74,alphonse.antoine@server.fr,architecte
Gay,Hugues,6200,NICE,04.20.00.47.15,hugues.gay@server.fr,avocat
Charles,Arthur,6200,NICE,04.34.30.12.96,arthur.charles@server.fr,boulanger
Gregoire,Isaac,6200,NICE,04.64.14.55.49,isaac.gregoire@server.fr,chauffeur
Lebrun,,6200,NICE,04.63.84.95.56,caroline.lebrun@server.fr,chef d'entreprise
Barbier,Agathe,6200,NICE,04.00.15.25.44,agathe.barbier@server.fr,comptable
Humbert,Isabelle,6200,NICE,04.38.64.56.37,isabelle.humbert@server.fr,comptable
Hubert,Henriette,6200,NICE,04.35.62.02.81,henriette.hubert@server.fr,cuisinier
Hamel,Alfred-Richard,6200,NICE,04.91.30.33.42,alfred-richard.hamel@server.fr,ouvrier
Hubert Le Pires,Nicole,6200,NICE,04.61.30.65.53,nicole.hubert-le-pires@server.fr,ouvrier
Toussaint,Alexandre-Marcel,6200,NICE,04.23.98.14.31,alexandre-marcel.toussaint@server.fr,technicien
Roussel de la Rodrigues,Alexandre,6200,NICE,04.27.43.25.10,alexandre.roussel-de-la-rodrigues@server.fr,
Aubry,Alfred,6200,NICE,04.09.59.21.48,alfred.aubry@server.fr,
Berthelot Le Blondel,Eric,6200,NICE,04.47.80.53.08,eric.berthelot-le-blondel@server.fr,
Renault,Richard,6200,NICE,04.19.47.09.62,richard.renault@server.fr,
Germain,,6200,NICE,04.68.05.38.94,anais.germain@server.fr,
Gallet,William,13001,MARSEILLE,04.55.19.78.54,william.gallet@server.fr,banquier
Fouquet,Etienne,13001,MARSEILLE,04.06.67.05.79,etienne.fouquet@server.fr,chauffeur
du Ramos,Antoinette,13001,MARSEILLE,04.87.83.50.83,antoinette.du-ramos@server.fr,comptable
Peron,Capucine,13001,MARSEILLE,04.40.17.69.96,capucine.peron@server.fr,informaticien
Aubert,,13001,MARSEILLE,04.84.66.96.69,anne.aubert@server.fr,journaliste
Vidal,Anastasie,13001,MARSEILLE,04.93.18.60.87,anastasie.vidal@server.fr,
Besson,Martin,13001,MARSEILLE,04.35.65.24.74,martin.besson@server.fr,
Pascal-Hubert,Patricia,13001,MARSEILLE,04.40.06.02.77,patricia.pascal-hubert@server.fr,
Da Costa Le Cohen,Nathalie,13002,MARSEILLE,04.25.87.99.25,nathalie.da-costa-le-cohen@server.fr,agriculteur
